管理處名稱,工作站,名稱,採樣日期,水溫°C,pH值,EC(μS/cm),備註,版本日期
宜蘭管理處,礁溪站,四結佃圳下游,2018/1/17,20.7,7.17,208,,201801
宜蘭管理處,礁溪站,金長源圳上游,2018/1/17,19.9,7.64,141,,201801
宜蘭管理處,礁溪站,金長源圳下游,2018/1/17,19.4,7.57,142,,201801
宜蘭管理處,礁溪站,金慶安圳取水口,2018/1/17,19.2,7.21,208,,201801
宜蘭管理處,礁溪站,七結湧泉圳上游,2018/1/17,20.9,7.34,211,,201801
宜蘭管理處,礁溪站,柴圍佃圳取水口,2018/1/17,19.4,7.53,184,,201801
宜蘭管理處,礁溪站,民生圳取水口,2018/1/17,20.6,7.15,180,,201801
宜蘭管理處,礁溪站,三民四中排(補助水源),2018/1/17,20.1,7.42,150,,201801
宜蘭管理處,礁溪站,李寶興排水,2018/1/17,21.1,7.12,177,,201801
宜蘭管理處,礁溪站,充公支線塭底分線上游,2018/1/17,19.7,7.26,224,,201801
宜蘭管理處,礁溪站,七結抽水機取水口,2018/1/17,20.8,7.42,272,,201801
宜蘭管理處,礁溪站,朝陽4號抽水機取水口,2018/1/17,19.2,7.25,232,,201801
宜蘭管理處,礁溪站,玉田1號抽水機取水口,2018/1/17,19.3,7.25,230,,201801
宜蘭管理處,礁溪站,玉田2號抽水機取水口,2018/1/17,18.4,7.32,160,,201801
宜蘭管理處,礁溪站,辛永安圳上游(二結排水一結革新二中排茭白9小排),2018/1/17,20.2,7.39,197,,201801
宜蘭管理處,礁溪站,茅埔抽水機取水口,2018/1/17,19.7,7.25,242,,201801
宜蘭管理處,礁溪站,民權抽水機取水口,2018/1/17,20.3,7.6,204,,201801
宜蘭管理處,礁溪站,朝陽2號抽水機取水口,2018/1/17,19.1,7.27,232,,201801
宜蘭管理處,礁溪站,民生圳幹線下游(瑪僯12-6小排),2018/1/17,20.1,7.47,486,,201801
宜蘭管理處,礁溪站,充公支線塭底分線下游,2018/1/17,19,7.22,224,,201801
宜蘭管理處,礁溪站,李寶興排水下游(三民8-2小給),2018/1/17,21.1,6.97,188,,201801
宜蘭管理處,礁溪站,茅埔排水下游,2018/1/17,19.8,7.3,277,,201801
宜蘭管理處,礁溪站,李寶興圳幹線上游,2018/1/17,20.1,7.75,140,,201801
宜蘭管理處,礁溪站,李寶興圳幹線下游,2018/1/17,20,7.64,144,,201801
宜蘭管理處,礁溪站,三十九結抽水機取水口,2018/1/23,20.8,7.28,247,,201801
宜蘭管理處,礁溪站,茭白幹線上游,2018/1/17,20.7,7.23,226,,201801
宜蘭管理處,礁溪站,辛永安圳一支線中游,2018/1/17,20.6,7.23,196,,201801
宜蘭管理處,礁溪站,玉田支線取水門取水口,2018/1/17,20.3,7.54,223,,201801
宜蘭管理處,壯圍站,金同春圳上游,2018/1/17,22.5,7.21,173,,201801
宜蘭管理處,壯圍站,金同春圳下游,2018/1/18,20,7.44,140,,201801
宜蘭管理處,壯圍站,充館圳上游,2018/1/17,21.3,7.25,198,,201801
宜蘭管理處,壯圍站,公館支線分水門,2018/1/17,21.5,7.35,200,,201801
宜蘭管理處,壯圍站,新城圳取水口,2018/1/18,19.9,7.43,140,,201801
宜蘭管理處,壯圍站,二結湧泉圳引水口,2018/1/17,23.6,7.14,142,,201801
宜蘭管理處,壯圍站,十三股大排上游(補助水源),2018/1/17,22.5,7.32,214,,201801
宜蘭管理處,壯圍站,壯東第二大排(補助水源),2018/1/17,21,7.02,218,,201801
宜蘭管理處,壯圍站,壯東第三大排(補助水源),2018/1/17,20.7,7.12,222,,201801
宜蘭管理處,壯圍站,古亭排水(補助水源),2018/1/17,23.5,7.09,172,,201801
宜蘭管理處,壯圍站,梅洲第一幹線,2018/1/17,21.5,7.23,170,,201801
宜蘭管理處,壯圍站,梅洲第二幹線,2018/1/17,22,7.13,176,,201801
宜蘭管理處,壯圍站,梅洲第三幹線,2018/1/17,21.8,7.26,169,,201801
宜蘭管理處,壯圍站,梅洲第四幹線,2018/1/17,21.7,7.25,176,,201801
宜蘭管理處,壯圍站,充公支線,2018/1/17,22.3,7.35,192,,201801
宜蘭管理處,壯圍站,金同春圳導水路,2018/1/17,21.9,7.2,187,,201801
宜蘭管理處,壯圍站,壯東第一大排(輔助水源),2018/1/17,20.8,7.15,214,,201801
宜蘭管理處,壯圍站,充館圳幹線分水門,2018/1/18,20,7.58,182,,201801
宜蘭管理處,員山站,枕山圳上游,2018/1/22,21.5,7.71,234,,201801
宜蘭管理處,員山站,雷公埤圳取水口,2018/1/22,20.6,7.89,265,,201801
宜蘭管理處,員山站,隘界圳取水口,2018/1/22,22,7.92,187,,201801
宜蘭管理處,員山站,金大安圳取水口,2018/1/22,21.6,7.61,209,,201801
宜蘭管理處,員山站,鼻仔頭圳取水口,2018/1/22,21.8,7.65,312,,201801
宜蘭管理處,員山站,大三鬮圳取水口,2018/1/22,20.8,7.78,365,,201801
宜蘭管理處,員山站,內城圳取水口,2018/1/23,21.2,7.81,115,,201801
宜蘭管理處,員山站,內湖圳取水口,2018/1/23,21,7.63,134,,201801
宜蘭管理處,員山站,上深溝圳取水口,2018/1/23,21.3,7.54,385,,201801
宜蘭管理處,員山站,改良番仔圳取水口,2018/1/23,20.7,8.1,452,,201801
宜蘭管理處,員山站,深溝湧泉圳引水口,2018/1/23,20.8,8.01,265,,201801
宜蘭管理處,員山站,金覆興圳取水口,2018/1/23,21,8.11,315,,201801
宜蘭管理處,員山站,結頭份排水中游,2018/1/22,21.9,7.88,284,,201801
宜蘭管理處,員山站,茄苳林二排水下游,2018/1/22,20.8,7.69,323,,201801
宜蘭管理處,員山站,浮洲排水新洲子中排中游(第二制水門),2018/1/23,21,7.66,378,,201801
宜蘭管理處,員山站,浮洲排水新洲子中排中游(第一制水門),2018/1/23,22,7.7,391,,201801
宜蘭管理處,員山站,上深溝圳上游(一支線大安一分線),2018/1/23,21.6,7.81,465,,201801
宜蘭管理處,員山站,深溝排水中游(第三制水門),2018/1/23,20.8,7,360,,201801
宜蘭管理處,員山站,深溝排水上游(第一制水門),2018/1/23,20.9,7.88,382,,201801
宜蘭管理處,員山站,蓁巷排水深洲成功二中排上游,2018/1/23,21,7.82,378,,201801
宜蘭管理處,員山站,鼻仔頭圳幹線四支線,2018/1/22,20.3,8.21,401,,201801
宜蘭管理處,員山站,枕山圳下游(第二分水門),2018/1/22,20.1,8.23,261,,201801
宜蘭管理處,員山站,隘界圳中游(一支線),2018/1/22,20.3,7.98,258,,201801
宜蘭管理處,宜蘭站,三鬮圳幹線上游,2018/1/10,16.1,7.74,319,,201801
宜蘭管理處,宜蘭站,三鬮圳幹線下游,2018/1/10,16.8,7.6,294,,201801
宜蘭管理處,宜蘭站,溪洲圳上游,2018/1/10,16.5,7.53,336,,201801
宜蘭管理處,宜蘭站,溪洲圳中游,2018/1/10,17.1,7.62,285,,201801
宜蘭管理處,宜蘭站,美福大排(補助水源),2018/1/10,17.3,7.66,217,,201801
宜蘭管理處,宜蘭站,舊港大排(補助水源),2018/1/10,17.1,7.57,223,,201801
宜蘭管理處,宜蘭站,振興支線取水口,2018/1/9,16.8,7.47,294,,201801
宜蘭管理處,宜蘭站,金山支線上游(制水門),2018/1/9,17.1,7.53,281,,201801
宜蘭管理處,宜蘭站,員山支線四分線上游,2018/1/9,17.3,7.61,287,,201801
宜蘭管理處,宜蘭站,員山支線五分線上游,2018/1/9,16.9,7.5,277,,201801
宜蘭管理處,宜蘭站,宜壯振興支線下游,2018/1/10,17.2,7.68,299,,201801
宜蘭管理處,宜蘭站,石橋支線上游(制水門),2018/1/9,17.1,7.54,280,,201801
宜蘭管理處,宜蘭站,宜壯壯五支線A12分線上游,2018/1/10,16.7,7.62,296,,201801
宜蘭管理處,宜蘭站,四鬮支線下游(制水門),2018/1/10,16.5,7.65,302,,201801
宜蘭管理處,宜蘭站,三鬮圳幹線上游(宜員三泰2-1-6小給),2018/1/10,17.2,7.53,306,,201801
宜蘭管理處,宜蘭站,美福大排中游(宜壯振興A-2-7小排),2018/1/10,17.4,7.7,256,,201801
宜蘭管理處,三星站,叭哩沙圳幹線取水口,2018/1/17,18.8,6.95,526,,201801
宜蘭管理處,三星站,天送埤圳上游(天送埤圳幹線),2018/1/17,18,8.29,517,,201801
宜蘭管理處,三星站,破布烏圳幹線取水口,2018/1/17,18.4,8.33,518,,201801
宜蘭管理處,三星站,下湖圳幹線取水口,2018/1/17,18.3,8.34,519,,201801
宜蘭管理處,三星站,瓦窯圳幹線取水口,2018/1/17,18.4,8.4,515,,201801
宜蘭管理處,三星站,柑坑圳幹線取水口,2018/1/17,18.2,8.39,517,,201801
宜蘭管理處,三星站,月眉湖圳幹線取水口,2018/1/17,18.3,8.39,517,,201801
宜蘭管理處,三星站,張公圍圳幹線取水口,2018/1/17,18.5,8.37,516,,201801
宜蘭管理處,三星站,阿里史圳第一幹線取水口,2018/1/17,17.7,8.42,516,,201801
宜蘭管理處,三星站,萬富圳幹線取水口,2018/1/17,17.9,8.33,514,,201801
宜蘭管理處,三星站,阿里史圳第五幹線取水口,2018/1/17,18.2,8.2,518,,201801
宜蘭管理處,三星站,黃鳳鳴圳幹線取水口,2018/1/17,18.8,8.44,467,,201801
宜蘭管理處,三星站,大埔圳幹線取水口,2018/1/17,18.1,8.42,479,,201801
宜蘭管理處,三星站,大洲湧泉圳第一幹線取水口,2018/1/17,19.6,7.97,582,,201801
宜蘭管理處,三星站,大洲圳湧泉第二幹線取水口,2018/1/17,18.4,8.05,603,,201801
宜蘭管理處,三星站,大洲湧泉圳第三幹線取水口,2018/1/17,19.8,7.94,587,,201801
宜蘭管理處,三星站,中湧圳幹線取水口,2018/1/17,19.7,7.95,586,,201801
宜蘭管理處,三星站,金漳成圳幹線取水口,2018/1/17,19.8,8,571,,201801
宜蘭管理處,三星站,水車溝圳幹線取水口,2018/1/17,20.4,7.99,536,,201801
宜蘭管理處,三星站,月眉圳幹線中游,2018/1/17,18.8,8.43,510,,201801
宜蘭管理處,三星站,萬富圳幹線下游,2018/1/17,17.9,8.12,512,,201801
宜蘭管理處,三星站,三星排水下游(三星排水安農三大義五主給),2018/1/17,18.1,8.42,502,,201801
宜蘭管理處,三星站,中溪洲排水中游(中溪州大排三分線),2018/1/17,19.9,7.96,580,,201801
宜蘭管理處,三星站,三星排水中游(第一取水門),2018/1/17,18,7.3,523,,201801
宜蘭管理處,三星站,萬富大排中游(第一取水門),2018/1/17,18.2,8.44,507,,201801
宜蘭管理處,三星站,月眉圳幹線上游(月眉圳幹線四支線萬貴萬德6-8小給,2018/1/17,19.8,8.58,484,,201801
宜蘭管理處,三星站,三星排水上游(三星排水二號傾倒式制水門),2018/1/17,19.5,8.55,495,,201801
宜蘭管理處,三星站,月眉圳幹線中游(月眉圳四支二號傾倒式水門),2018/1/17,20.1,8.6,492,,201801
宜蘭管理處,三星站,張公圍排水中游(張公圍排水一號排水門),2018/1/17,18.3,8.46,507,,201801
宜蘭管理處,三星站,黃鳳鳴圳幹線上游(黃鳳鳴圳補給線制水門),2018/1/17,18.7,8.42,489,,201801
宜蘭管理處,三星站,大洲湧泉圳第六幹線下游(大洲湧泉圳第六幹線四分線),2018/1/17,19.7,7.97,579,,201801
宜蘭管理處,三星站,萬富圳幹線上游(萬富圳幹線行健導水路),2018/1/17,18,8.31,513,,201801
宜蘭管理處,三星站,水車溝圳幹線下游(安農二尾塹二主給4-4小給),2018/1/17,19.8,8.23,527,,201801
宜蘭管理處,羅東站,歪仔歪圳取水口,2018/1/16,19.8,7.3,282,,201801
宜蘭管理處,羅東站,打那岸圳取水口,2018/1/16,19.4,7.1,411,,201801
宜蘭管理處,羅東站,月眉圳取水口,2018/1/16,20.2,7.27,348,,201801
宜蘭管理處,羅東站,埔仔圳取水口,2018/1/16,19.4,7.33,359,,201801
宜蘭管理處,羅東站,金長安圳取水口,2018/1/16,19.4,7.31,269,,201801
宜蘭管理處,羅東站,冬螺圳取水口,2018/1/16,18.9,7.57,322,,201801
宜蘭管理處,羅東站,大光明圳取水口,2018/1/16,18.6,8.16,503,,201801
宜蘭管理處,羅東站,埔林圳取水口,2018/1/16,20.5,8.55,520,,201801
宜蘭管理處,羅東站,柯林圳第一幹線取水口,2018/1/16,20.2,7.71,479,,201801
宜蘭管理處,羅東站,柯林圳第二幹線取水口,2018/1/16,21.3,7.58,361,,201801
宜蘭管理處,羅東站,柯林圳第三幹線取水口,2018/1/16,18.9,7.96,513,,201801
宜蘭管理處,羅東站,柯湧圳取水口,2018/1/16,21.4,7.65,291,,201801
宜蘭管理處,羅東站,北成圳取水口,2018/1/16,20.3,7.27,303,,201801
宜蘭管理處,羅東站,四人埤圳取水口,2018/1/16,19.6,7.35,438,,201801
宜蘭管理處,羅東站,輕仔腳埤圳取水口,2018/1/16,20,7.42,317,,201801
宜蘭管理處,羅東站,雷公埤圳取水口,2018/1/16,19.7,7.44,343,,201801
宜蘭管理處,羅東站,柯林中排(補助水源),2018/1/16,21.2,7.56,415,,201801
宜蘭管理處,羅東站,柯林圳第五幹線取水口,2018/1/16,18.8,7.33,442,,201801
宜蘭管理處,羅東站,大光明圳下游,2018/1/16,18.7,8.18,505,,201801
宜蘭管理處,羅東站,埔林圳下游,2018/1/16,18.7,8.16,522,,201801
宜蘭管理處,羅東站,冬螺圳第二幹線取水口,2018/1/16,19.5,7.05,312,,201801
宜蘭管理處,羅東站,金長安二幹取水口,2018/1/16,19.2,7.55,267,,201801
宜蘭管理處,羅東站,冬螺湧泉圳取水口,2018/1/16,19.5,7.39,286,,201801
宜蘭管理處,羅東站,金長安二幹中興金2M主給取水口,2018/1/16,18.6,7.66,335,,201801
宜蘭管理處,羅東站,十六份圳幹線下游,2018/1/16,20.3,7.4,331,,201801
宜蘭管理處,五結站,四結支線下游,2018/1/17,18.3,7.6,727,,201801
宜蘭管理處,五結站,五股圳下游,2018/1/17,20.7,8.37,333,,201801
宜蘭管理處,五結站,五結支線下游,2018/1/17,20.8,7.7,389,,201801
宜蘭管理處,五結站,二結支線下游,2018/1/17,20.2,7.74,429,,201801
宜蘭管理處,五結站,萬長春圳取水口,2018/1/17,20.7,7.71,416,,201801
宜蘭管理處,五結站,林和源圳取水口,2018/1/17,20.6,7.67,290,,201801
宜蘭管理處,五結站,茅仔寮二號抽水機,2018/1/17,20.8,7.56,453,,201801
宜蘭管理處,五結站,大吉二號抽水機,2018/1/17,20,7.62,491,,201801
宜蘭管理處,五結站,五股三號抽水機,2018/1/17,20.8,7.88,222,,201801
宜蘭管理處,五結站,龍德八號抽水機取水口,2018/1/17,21.3,8.64,236,,201801
宜蘭管理處,五結站,四結支線B5分線,2018/1/17,18.2,7.7,423,,201801
宜蘭管理處,五結站,二結支線第一分線上游,2018/1/17,20.8,7.9,428,,201801
宜蘭管理處,五結站,協和十一之一主給,2018/1/17,20.4,7.6,390,,201801
宜蘭管理處,五結站,五結支線一分線,2018/1/17,21.2,7.73,426,,201801
宜蘭管理處,五結站,五結支線三分線,2018/1/17,21.4,7.72,380,,201801
宜蘭管理處,冬山站,陳進財圳取水口,2018/1/17,19.2,6.27,219,,201801
宜蘭管理處,冬山站,公埔圳取水口,2018/1/17,20.9,7.39,194,,201801
宜蘭管理處,冬山站,珍珠第一抽水機抽水口,2018/1/17,18.6,7.6,230,,201801
宜蘭管理處,冬山站,八仙圳取水口,2018/1/17,18,6.35,282,,201801
宜蘭管理處,冬山站,砂仔港圳取水口,2018/1/17,19.8,6.99,301,,201801
宜蘭管理處,冬山站,武淵圳取水口,2018/1/17,17.8,6.91,296,,201801
宜蘭管理處,冬山站,朱九圳取水口,2018/1/17,20.9,7.34,281,,201801
宜蘭管理處,冬山站,莊錦發圳取水口,2018/1/17,21,7.3,288,,201801
宜蘭管理處,冬山站,張火盛圳取水口,2018/1/17,20.7,7.35,282,,201801
宜蘭管理處,冬山站,八寶圳取水口,2018/1/17,19.8,7.38,288,,201801
宜蘭管理處,冬山站,順安圳取水口,2018/1/17,20.5,7.46,293,,201801
宜蘭管理處,冬山站,珍珠第二抽水機抽水口,2018/1/17,18.5,7.18,255,,201801
宜蘭管理處,冬山站,梅花排水(補助水源),2018/1/17,20.8,8.2,478,,201801
宜蘭管理處,冬山站,十三份圳取水口,2018/1/17,20.8,7.61,131,,201801
宜蘭管理處,冬山站,八寶湧泉圳第一幹線取水口,2018/1/17,21,7.28,213,,201801
宜蘭管理處,冬山站,八寶湧泉圳第二幹線取水口,2018/1/17,20.6,7.37,292,,201801
宜蘭管理處,冬山站,莊錦發圳一、二支水門取水口,2018/1/17,20.5,7.6,295,,201801
宜蘭管理處,冬山站,十六份圳二號抽水機取水口,2018/1/17,18.3,7.18,294,,201801
宜蘭管理處,冬山站,南富一號抽水機取水口,2018/1/17,18.2,7.31,390,,201801
宜蘭管理處,冬山站,林寶春圳南富七主給取水口,2018/1/17,18.5,7.34,427,,201801
宜蘭管理處,冬山站,冬山圳幹線取水口,2018/1/17,17.9,7.4,158,,201801
宜蘭管理處,冬山站,八寶圳下游,2018/1/17,19.1,7.28,281,,201801
宜蘭管理處,冬山站,林寶春支線6主給取水口,2018/1/17,19.1,7.32,227,,201801
宜蘭管理處,冬山站,南富一中排取水口,2018/1/17,18.1,7.62,166,,201801
宜蘭管理處,冬山站,林吉記支線二分線取水口,2018/1/17,18.3,7.69,207,,201801
宜蘭管理處,冬山站,林寶春第一、二支取水口,2018/1/17,18.8,7.45,241,,201801
宜蘭管理處,冬山站,南富八主給取水口,2018/1/17,18.3,7.41,385,,201801
宜蘭管理處,冬山站,北富一主給取水口,2018/1/17,20,7.32,300,,201801
宜蘭管理處,冬山站,順安圳幹線(太員順安區二主給),2018/1/17,20.3,7.67,275,,201801
宜蘭管理處,冬山站,南富3號抽水機取水口,2018/1/17,18.5,7.43,259,,201801
宜蘭管理處,冬山站,順安分線取水口,2018/1/17,20.2,7.63,271,,201801
宜蘭管理處,冬山站,龍德5號抽水機取水口,2018/1/17,19.4,7.59,548,,201801
宜蘭管理處,冬山站,龍德7號抽水機取水口,2018/1/17,18.7,7.9,210,,201801
宜蘭管理處,冬山站,奇武荖抽水機取水口,2018/1/17,18.4,7.61,332,,201801
宜蘭管理處,蘇澳站,金豐萬圳取水口,2018/1/17,20.2,8.25,138,,201801
宜蘭管理處,蘇澳站,金豐萬圳幹線一支線下游,2018/1/17,19.8,8.21,175,,201801
宜蘭管理處,蘇澳站,糞箕湖圳幹線隘丁支線上游,2018/1/17,19.9,7.89,142,,201801
宜蘭管理處,蘇澳站,糞箕湖圳幹線隘丁支線下游,2018/1/17,20.7,6.9,257,,201801
宜蘭管理處,蘇澳站,龍德二號抽水機抽水口,2018/1/17,22.3,6.79,439,,201801
宜蘭管理處,蘇澳站,龍德四號抽水機抽水口,2018/1/17,21.9,6.64,585,,201801
宜蘭管理處,蘇澳站,大南澳圳第一幹線取水口,2018/1/17,19.6,7.96,413,,201801
宜蘭管理處,蘇澳站,大南澳圳第二幹線取水口,2018/1/17,20.1,8.07,472,,201801
宜蘭管理處,蘇澳站,大南澳圳第三幹線取水口,2018/1/17,20.3,8.11,510,,201801
宜蘭管理處,蘇澳站,隆恩圳取水口,2018/1/17,19.9,8.13,193,,201801
宜蘭管理處,蘇澳站,隆恩排水中游(隆恩排水制水門),2018/1/17,20.1,7.66,216,,201801
宜蘭管理處,蘇澳站,馬賽中排上游(馬賽中排制水門),2018/1/17,20.8,7.07,396,,201801
宜蘭管理處,蘇澳站,馬賽排水中游(馬賽大排制水門),2018/1/17,20.2,7.81,183,,201801
宜蘭管理處,蘇澳站,馬賽排水上游(新馬4-5小排),2018/1/17,19.9,7.85,173,,201801
宜蘭管理處,蘇澳站,金豐萬圳下游(金豐萬圳幹線新馬六主給),2018/1/17,20,7.47,290,,201801
宜蘭管理處,蘇澳站,港口排水上游(下埤排水制水門),2018/1/17,20.5,6.77,219,,201801
宜蘭管理處,頭城站,大坑罟抽水機抽水口,2020/7/8,27.1,7.84,399,,202004
宜蘭管理處,頭城站,溪仔底幹線取水口,2020/7/8,29.5,7.09,265,,202004
宜蘭管理處,頭城站,新興湧泉幹線引水口,2020/7/8,26.6,6.84,164,,202004
宜蘭管理處,頭城站,福德坑圳幹線取水口,2020/7/8,26.2,7.8,129,,202004
宜蘭管理處,頭城站,金面圳金面第一幹線取水口,2020/7/8,27.2,7.69,102,,202004
宜蘭管理處,頭城站,北門坑圳幹線取水口,2020/7/8,26.9,7.26,68,,202004
宜蘭管理處,頭城站,抵美簡圳幹線取水口,2020/7/8,29,7.05,199,,202004
宜蘭管理處,頭城站,猴洞坑圳幹線取水口,2020/7/8,26.9,7.51,94,,202004
宜蘭管理處,頭城站,白石腳湧泉第二幹線取水口,2020/7/8,28.4,6.9,125,,202004
宜蘭管理處,頭城站,湯圍湧泉幹線取水口,2020/7/8,29.9,7.3,511,,202004
宜蘭管理處,頭城站,淇武蘭圳幹線取水口,2020/7/8,28.7,7.19,155,,202004
宜蘭管理處,頭城站,五股圳幹線礁溪1-17小給取水口,2020/7/8,29.2,7.31,406,,202004
宜蘭管理處,頭城站,湯圍湧泉幹線三支線取水口,2020/7/8,29.8,7.59,614,,202004
宜蘭管理處,頭城站,湯圍湧泉幹線四支線湯圍1-2小給取水口,2020/7/8,30.1,7.15,506,,202004
宜蘭管理處,頭城站,金面圳金面第二幹線二主給2小給取水口,2020/7/8,27.2,7.41,105,,202004
宜蘭管理處,頭城站,金面第四湧泉圳取水口,2020/7/8,27.4,7.05,177,,202004
宜蘭管理處,礁溪站,辛永安圳取水口,2020/7/9,28.2,7.04,214,,202004
宜蘭管理處,礁溪站,黃德記圳取水口,2020/7/9,28.5,6.96,225,,202004
宜蘭管理處,礁溪站,林源春圳取水口,2020/7/9,29.2,7.24,227,,202004
宜蘭管理處,礁溪站,茅埔圳取水口,2020/7/9,28.4,7.14,232,,202004
宜蘭管理處,礁溪站,大坡圳(龍潭湖)取水口,2020/7/9,28.4,7.13,135,,202004
宜蘭管理處,礁溪站,四結佃圳上游,2020/7/9,29.3,7.23,205,,202004
宜蘭管理處,礁溪站,四結佃圳下游,2020/7/9,28.2,7.33,220,,202004
宜蘭管理處,礁溪站,金長源圳上游,2020/7/9,28.3,7.17,129,,202004
宜蘭管理處,礁溪站,金長源圳下游,2020/7/9,29.2,7.36,134,,202004
宜蘭管理處,礁溪站,金慶安圳取水口,2020/7/9,28.3,7.08,207,,202004
宜蘭管理處,礁溪站,七結湧泉圳上游,2020/7/9,28.4,7.05,269,,202004
宜蘭管理處,礁溪站,柴圍佃圳取水口,2020/7/9,28.7,7.15,202,,202004
宜蘭管理處,礁溪站,民生圳取水口,2020/7/9,28,7.07,230,,202004
宜蘭管理處,礁溪站,三民四中排(補助水源),2020/7/9,28.5,6.99,156,,202004
宜蘭管理處,礁溪站,李寶興排水,2020/7/9,28.1,7.23,175,,202004
宜蘭管理處,礁溪站,充公支線塭底分線上游,2020/7/9,28.6,7.12,242,,202004
宜蘭管理處,礁溪站,七結抽水機取水口,2020/7/9,28.7,6.94,349,,202004
宜蘭管理處,礁溪站,朝陽4號抽水機取水口,2020/7/9,28.5,7.09,285,,202004
宜蘭管理處,礁溪站,玉田1號抽水機取水口,2020/7/9,28.2,7.08,317,,202004
宜蘭管理處,礁溪站,玉田2號抽水機取水口,2020/7/9,28.4,7.11,301,,202004
宜蘭管理處,礁溪站,辛永安圳上游(二結排水一結革新二中排茭白9小排),2020/7/9,29.3,7.52,211,,202004
宜蘭管理處,礁溪站,茅埔抽水機取水口,2020/7/9,28.5,7.1,266,,202004
宜蘭管理處,礁溪站,民權抽水機取水口,2020/7/9,28.6,7.16,182,,202004
宜蘭管理處,礁溪站,朝陽2號抽水機取水口,2020/7/9,27.9,7.03,689,,202004
宜蘭管理處,礁溪站,民生圳幹線下游(瑪僯12-6小排),2020/7/9,29.3,7.12,730,,202004
宜蘭管理處,礁溪站,充公支線塭底分線下游,2020/7/9,28.5,7.13,244,,202004
宜蘭管理處,礁溪站,李寶興排水下游(三民8-2小給),2020/7/9,27.6,7.18,197,,202004
宜蘭管理處,礁溪站,茅埔排水下游,2020/7/9,29.3,7.17,236,,202004
宜蘭管理處,礁溪站,李寶興圳幹線上游,2020/7/9,28.6,7.32,129,,202004
宜蘭管理處,礁溪站,李寶興圳幹線下游,2020/7/9,29.2,7.32,133,,202004
宜蘭管理處,礁溪站,三十九結抽水機取水口,2020/7/9,28.6,7.08,247,,202004
宜蘭管理處,礁溪站,茭白幹線上游,2020/7/9,28.5,7.19,193,,202004
宜蘭管理處,礁溪站,辛永安圳一支線中游,2020/7/9,28.4,7.01,396,,202004
宜蘭管理處,礁溪站,玉田支線取水門取水口,2020/7/9,28.5,7.09,244,,202004
宜蘭管理處,壯圍站,金同春圳上游,2020/7/14,26.4,7.62,211,,202004
宜蘭管理處,壯圍站,金同春圳下游,2020/7/14,26.3,7.89,233,,202004
宜蘭管理處,壯圍站,充館圳上游,2020/7/14,26.5,7.7,260,,202004
